'yan'bi'xin 言必信
'xing'bi'guo 行必果
'yu'peng'you'jiao 与朋友交
'yan'er'you'xin 言而有信
'you'ze'gai'zhi 有则改之
'wu'ze'jia'mian 无则加勉
'shi'ke'ren 是可忍
'shu'bu'ke'ren 孰不可忍
'min'er'hao'xue 敏而好学
'bu'chi'xia'wen 不耻下问
'shi'nian'shu'mu 十年树木
'bai'nian'shu'ren 百年树人
'sheng'yu'you'huan 生于优患
'si'yu'an'le 死于安乐
'jin'xin'shu 尽信书
'jin'shen'shu 尽信书
'bu'ru'wu'shu 不如无书
'qian'li'zhi'di 千里之堤
'kui'yu'yi'xue 溃于蚁穴
'yi'zhang'yi'chi 一张一弛
'wen'wu'zhi'dao 文武之道
'sai'weng'shi'ma 塞翁失马
'yan'zhi'fei'fu 焉知非福
'shi'zhi'hao'li 失之毫厘
'miu'yi'qian'li 谬以千里
'tao'li'bu'yan 桃李不言
'xia'zi'cheng'xi 下自成蹊
'xiang'zhuang'wu'jian 项庄舞剑
'yi'zai'pei'gong 意在沛公
'ren'wei'dao'zu 人为刀俎
'wo'wei'yu'rou 我为鱼肉
'bu'ming'ze'yi 不鸣则已
'yi'ming'jing'ren 一鸣惊人
'hang'bai'li'zhe 行百里者
'xing'bai'li'zhe 行百里者
'ban'yu'jiu'shi 半于九十
'shi'zhi'dong'yu 失之东隅
'shou'zhi'sang'yu 收之桑榆
'jing'cheng'suo'zhi 精诚所至
'jin'shi'wei'kai 金石为开
'sheng'ming'zhi'xia 盛名之下
'qi'shi'nan'fu 其实难副
'bu'ren'hu'xue 不人虎穴
'yan'de'hu'zi 焉得虎子
'jin'zhu'zhe'chi 近朱者赤
'jin'mo'zhe'hei 近墨者黑
'ji'bu'ke'shi 机不可失
'shi'bu'zai'lai 失不再来
'bu'sai'bu'liu 不塞不流
'bu'zhi'bu'xing 不止不行
'chi'you'suo'duan 尺有所短
'cun'you'suo'chang 寸有所长
'qian'shi'bu'wang 前事不忘
'hou'shi'zhi'shi 后事之师
'bu'yi'wu'xi 不以物喜
'bu'yi'yi'bei 不以已悲
'cheng'gong'shu'yu'fen'dou'zhe 成功属于奋斗者
'wu'kui'yu'xin 无愧于心
'nu'li'jiu'xing 努力就行
'jin'cheng'suo'zhi 金诚所致
'xue'zhi'bu'zu 学知不足
'chi'de'ku'zhong'ku 吃得苦中苦
'fang'wei'ren'shang'ren 方为人上人
'ren'sheng'zai'qin 人生在勤
'bu'suo'he'huo 不索何获
'fou'suo'he'huo 不索何获
'yan'zhong'xin 言忠信
'hang'du'jing 行笃敬
'xing'du'jing 行笃敬
'bai'xue'xu'xian'li'zhi 百学须先立志
'cha'yi'hao'li 差以毫厘
'cong'shan'ru'deng 从善如登
'cong'e'ru'beng 从恶如崩
'cong'wu'ru'beng 从恶如崩
'zong'e'ru'beng 从恶如崩
'zong'wu'ru'beng 从恶如崩
'dang'duan'bu'duan 当断不断
'fan'shou'qi'luan 反受其乱
'dang'ju'zhe'mi 当局者迷
'pang'guan'zhe'qing 旁观者清
'du'shu'bai'bian 读书百遍
'qi'yi'zi'xian 其义自现
'du'shu'po'wan'juan 读书破万卷
'xia'bi'ru'you'shen 下笔如有神
'du'wan'juan'shu 读万卷书
'hang'wan'li'lu 行万里路
'xing'wan'li'lu 行万里路
'duo'xing'bu'yi'bi'zi'bi 多行不义必自毙
'gao'shan'yang'zhi 高山仰止
'jing'xing'xing'zhi 景行行止
'gong'yu'shan'qi'shi 工欲善其事
'bi'xian'li'qi'qi 必先利其器
'guang'yin'si'jian 光阴似箭
'ri'yue'ru'suo 日月如梭
'jian'ting'ze'ming 兼听则明
'pian'xin'ze'an 偏信则暗
'jian'yi'bu'wei 见义不为
'xian'yi'bu'wei 见义不为
'fei'yong'ye 非勇也
'jin'yu'qi'wai 金玉其外
'bai'xu'qi'zhong 败絮其中
'jing'po'bu'gai'guang 镜破不改光
'lan'si'bu'gai'xiang 兰死不改香
'jun'zi'you'dao'bu'you'pin 君子忧道不忧贫
'jun'zi'you'dao'fou'you'pin 君子忧道不忧贫
'jun'zi'zhi'jiao'dan'ruo'shui 君子之交淡若水
'xiao'ren'zhi'jiao'gan'ruo'li 小人之交甘若醴
'xiao'ren'zhi'jiao'gan're'li 小人之交甘若醴
'mu'xiu'yu'lin 木秀于林
'feng'bi'cui'zhi 风必摧之
'pi'zhi'bu'cun 皮之不存
'mao'jiang'yan'fu 毛将焉附
'sheng'ye'you'ya 生也有涯
'zhi'zhi'ye'wu'ya 知智也无涯
'tian'shi'bu'ru'di'li 天时不如地利
'di'li'bu'ru'ren'he 地利不如人和
'tian'xia'xing'wang 天下兴亡
'pi'fu'you'ze 匹夫有责
'tian'yi'lian'you'cao 天意怜幽草
'ren'jian'zhong'wan'qing 人间重晚晴
'wan'wu'sang'zhi 玩物丧志
'wang'zhe'bu'ke'jian 往者不可谏
'lai'zhe'you'ke'zhui 来者犹可追
'wei'bei'wei'gan'wang'you'guo 位卑未敢忘忧国
'wen'dao'you'xian'hou 闻道有先后
'shu'ye'you'zhuan'gong 术业有专攻
'wu'yi'e'xiao'er'wei'zhi 勿以恶小而为之
'wu'yi'shan'xiao'er'bu'wei 勿以善小而不为
'xing'xing'zhi'huo 星星之火
'ke'yi'liao'yuan 可以燎原
'xue'er'bu'si'ze'wang 学而不思则罔
'si'er'bu'xue'ze'dai 思而不学则殆
'xue'ran'hou'zhi'bu'zu 学然后知不足
'xue'wu'zhi'jing 学无止境
'ye'jing'yu'qin 业精于勤
'huang'yu'xi 荒于嬉
'xing'cheng'yu'si 行成于思
'hui'yu'sui 毁于随
'yi'mo'ruo'xin 衣莫若新
'ren'mo'ruo'gu 人莫若故
'you'lao'ke'yi'xing'guo 忧劳可以兴国
'yi'yu'ke'yi'wang'shen 逸豫可以亡身
'yi'yu'ke'yi'wu'shen 逸豫可以亡身
'you'zhi'zhe 有志者
'shi'jing'cheng 事竟成
'yu'bu'zhuo 玉不琢
'bu'cheng'qi 不成器
'ren'bu'xue 人不学
'bu'zhi'dao 不知道
'yu'qiong'qian'li'mu 欲穷千里目
'geng'shang'yi'ceng'lou 更上一层楼
'yu'su'ze'bu'da 欲速则不达
'jian'xiao'li'ze'da'shi'bu'cheng 见小利则大事不成
'xian'xiao'li'ze'da'shi'bu'cheng 见小利则大事不成
'zhi'wu'bu'yan 知无不言
'yan'wu'bu'jin 言无不尽
'zhi'chang'fan'duan 至长反短
'zhi'zhang'fan'duan 至长反短
'zhi'duan'fan'chang 至短反长
'zhi'duan'fan'zhang 至短反长
'zhi'zhe'qian'lv 智者千虑
'bi'you'yi'shi 必有一失
'yu'zhe'qian'lv 愚者千虑
'bi'you'yi'de 必有一得
'shi'wei'jian'chen'jie 时危见臣节
'shi'wei'xian'chen'jie 时危见臣节
'shi'luan'shi'zhong'liang 世乱识忠良
'shi'luan'zhi'zhong'liang 世乱识忠良
'shi'bu'ke'bu'hong'yi 士不可不弘毅
'ren'zhong'er'dao'yuan 任重而道远
'shi'wei'zhi'ji'zhe'si 士为知己者死
'qie'er'bu'she 锲而不舍
'jin'shi'ke'lou 金石可镂
'zi'xiao'fu'xin'kuan 子孝父心宽
'bai'shan'xiao'wei'xian 百善孝为先
'zi'ji'xuan'ze'de'lu 自己选择的路
'gui'zhe'ye'yao'ba'ta'zou'wan 跪着也要把它走完
'shi'shang'mei'you'jue'wang'de'chu'jing 世上没有绝望的处境
'zhi'you'dui'chu'jing'jue'wang'de'ren 只有对处境绝望的人
'you'zhi'zhe'zi'you'qian'ji'wan'ji 有志者自有千计万计
'you'zhi'zhe'zi'you'qian'ji'mo'ji 有志者自有千计万计
'wu'zhi'zhe'zhi'gan'qian'nan'wan'nan 无志者只感千难万难
'di'yi'ge'qing'chun'shi'shang'di'gei'de 第一个青春是上帝给的
'mei'ge'ren'dou'hui'lei 每个人都会累
'bu'yao'sheng'qi'yao'zheng'qi 不要生气要争气
'bu'yao'kan'po'yao'tu'po 不要看破要突破
'bu'yao'ji'du'yao'xin'shang 不要嫉妒要欣赏
'bu'yao'tuo'yan'yao'ji'ji 不要拖延要积极
'bu'yao'xin'dong'yao'xing'dong 不要心动要行动
'jiu'suan'quan'shi'jie'dou'fou'ding'wo 就算全世界都否定我
'hai'you'wo'zi'ji'xiang'xin'wo 还有我自己相信我
'mei'you'zou'bu'tong'de'lu 没有走不通的路
'jiu'hui'bian'de'kong'xu'er'miao'xiao 就会变得空虚而渺小
'a'bao'zhi'gong 阿保之功
'e'bao'zhi'gong 阿保之功
'a'bao'zhi'lao 阿保之劳
'e'bao'zhi'lao 阿保之劳
'a'dou'tai'zi 阿斗太子
'a'yi'gou'he 阿意苟合
'a'yi'shun'zhi 阿意顺旨
'e'yu'chan'ning 阿谀谄佞
'e'yu'gou'he 阿谀苟合
'e'yu'qiu'rong 阿谀求容
'e'yu'qu'cong 阿谀曲从
'e'yu'qu'zong 阿谀曲从
'e'yu'shun'zhi 阿谀顺旨
'a'zhi'shun'qing 阿旨顺情
'e'zhi'shun'qing 阿旨顺情
'a'zun'shi'gui 阿尊事贵
'e'zun'shi'gui 阿尊事贵
'ai'ai'pang'pang 矮矮胖胖
'ai'ai'shi'shi 矮矮实实
'ai'cai'hao'shi 爱才好士
'ai'cai'lian'ruo 爱才怜弱
'ai'cai'she'ming 爱财舍命
'ai'da'bu'li 爱答不理
'ai'da'shou'ma 挨打受骂
'ai'da'shou'qi 挨打受气
'ai'e'shou'dong 挨饿受冻
'ai'fa'shuai'rong 艾发衰容
'yi'fa'shuai'rong 艾发衰容
'ai'fa'cui'rong 艾发衰容
'yi'fa'cui'rong 艾发衰容
'ai'fei'qi'dao 爱非其道
'ai'guo'yi'jia 爱国一家
'ai'hong'man'lu 哀鸿满路
'ai'jia'an'hu 挨家按户
'ai'jin'cheng'chuang 哀矜惩创
'ai'guan'cheng'chuang 哀矜惩创
'ai'qin'cheng'chuang 哀矜惩创
'ai'jin'wu'xi 哀矜勿喜
'ai'guan'wu'xi 哀矜勿喜
'ai'qin'wu'xi 哀矜勿喜
'ai'kou'shi'xiu 爱口识羞
'ai'lao'ci'you 爱老慈幼
'ai'yue'xiang'sheng 哀乐相生
'ai'li'bu'li 爱理不理
'ai'nan'zun'ming 碍难遵命
'ai'nuo'zun'ming 碍难遵命
'ai'shang'ai'xia 碍上碍下
'ai'shi'tan'cai 爱势贪财
'ai'si'shi'sheng 哀死事生
'ai'xi'jiao'bing 哀喜交并
'ai'xian'nian'jiu 爱贤念旧
'ai'xiao'jing'han 矮小精悍
'ai'ze'jia'zhu'xi'e'ze'zhui'zhu 爱则加诸膝恶则坠诸
'ai'ze'jia'zhu'xi'wu'ze'zhui'zhu 爱则加诸膝恶则坠诸
'ai'zhe'ru'bao 爱者如宝
'ai'zhi'yu'qi'sheng'e'zhi'yu'qi 爱之欲其生恶之欲其
'ai'zhi'yu'qi'sheng'wu'zhi'yu'qi 爱之欲其生恶之欲其
'ai'zhi'yu'ji'sheng'e'zhi'yu'qi 爱之欲其生恶之欲其
'ai'zhi'yu'qi'sheng'e'zhi'yu'ji 爱之欲其生恶之欲其
'ai'zhi'yu'ji'sheng'wu'zhi'yu'qi 爱之欲其生恶之欲其
'ai'zhi'yu'qi'sheng'wu'zhi'yu'ji 爱之欲其生恶之欲其
'ai'zhi'yu'ji'sheng'e'zhi'yu'ji 爱之欲其生恶之欲其
'ai'zhi'yu'ji'sheng'wu'zhi'yu'ji 爱之欲其生恶之欲其
'ai'zi'li'ba'jiang'jun 矮子里拔将军
'an'an'fen'fen 安安分分
'an'an'he'shi 安安合适
'an'an'jing'jing 安安静静
'an'an'xin'xin 安安心心
'an'an'yi'yi 安安逸逸
'an'bu'li'ma'bei'jia'bu'li'jiang 鞍不离马背甲不离将
'an'bu'li'ma'bei'jia'bu'li'qiang 鞍不离马背甲不离将
'an'cang'sha'ji 暗藏杀机
'an'cha'ming'fang 暗察明访
'an'ding'tuan'jie 安定团结
'an'du'ru'gu 案堵如故
'an'fen'shou'chang 安分守常
'an'jiao'xian'tan 暗礁险滩
'an'lao'fen'pei 按劳分配
'an'lao'qu'chou 按劳取酬
'an'li'shi'jin 暗里使劲
'an'na'bu'xia 按捺不下
'an'na'bu'zhu 按纳不住
'an'qi'suo'xi 安其所习
'an'qiang'zhu'ruo 按强助弱
'an'jiang'zhu'ruo 按强助弱
'an'ran'hun'xiao 黯然魂销
'an'ran'wu'guang 黯然无光
'an'ran'wu'shen 黯然无神
'an'wei'xiang'yi'huo'fu'xiang'sheng 安危相易祸福相生
'an'xiang'gong'jing 安详恭敬
'an'yu'pan'shi 安于磐石
'an'yu'suo'xi 安于所习
'an'yue'si'qi 暗约私期
'an'yao'si'qi 暗约私期
'an'yue'si'ji 暗约私期
'an'yao'si'ji 暗约私期
'an'yue'tou'qi 暗约偷期
'an'yao'tou'qi 暗约偷期
'an'yue'tou'ji 暗约偷期
'an'yao'tou'ji 暗约偷期
'an'zhong'pan'suan 暗中盘算
'an'zhong'qing'ya 暗中倾轧
'an'zhong'zuo'geng 暗中作梗
'an'zhong'zuo'le 暗中作乐
'an'zhong'zuo'yue 暗中作乐
'ang'ang'bu'dong 昂昂不动
