'wu'de'zhu'xiang'si 无地著相思
'wu'de'zhuo'xiang'si 无地著相思
'tian'han'cui'xiu'bo 天寒翠袖薄
'dian'ge'sheng'wei'liang 殿阁生微凉
'xia'zhe'piao'zhuan'chen'tang'ao 下者飘转沉塘坳
'xiao'xiang'tan'lang'tuo 笑向檀郎唾
'pi'pa'xian'shang'shuo'xiang'si 琵琶弦上说相思
'li'yuan'di'zi'bai'fa'xin 梨园弟子白发新
'cang'cang'zhu'lin'si 苍苍竹林寺
'ai'ai'yuan'ren'cun 暧暧远人村
'ai'ai'yun'gui'lu 蔼蔼云归麓
'ai'ba'dan'qing'cuo'hua'ren 爱把丹青错画人
'ai'ba'shan'piao'mo'xiao'nong 爱把山瓢莫笑侬
'ai'cao'qie'qie'ru'chan'yin 哀操切切如蝉吟
'tian'di'wei'zhi'jiu'di'ang 天地为之久低昂
'ren'ru'feng'hou'ru'jiang'yun 人如风后入江云
'ai'ci'cang'ran'shen'qie'kuan 爱此苍然深且宽
'ai'ci'cang'ran'shen'ju'kuan 爱此苍然深且宽
'ai'ci'cang'ran'shen'qu'kuan 爱此苍然深且宽
'chen'yin'fang'bo'cha'xian'zhong 沉吟放拨插弦中
'zhu'bo'yin'ping'yi'li'kai 珠箔银屏迤逦开
'ren'jia'jin'zhen'he 人家尽枕河
'lu'shui'dang'yang'qing'yuan'ti 渌水荡漾清猿啼
'jin'que'xi'xiang'kou'yu'jiong 金阙西厢叩玉扃
'jin'jue'xi'xiang'kou'yu'jiong 金阙西厢叩玉扃
'ji'dian'cui'hua'yu 几点催花雨
'yi'bai'er'shi'ri 一百二十日
'tao'hua'yuan'li'ren'jia 桃花源里人家
'wei'wo'kai'tian'guan 为我开天关
'lan'yi'tui'zhen'qi'pai'huai 揽衣推枕起徘徊
'hao'shou'wu'gu'zhang'jiang'bian 好收吾骨瘴江边
'hao'shou'yu'gu'zhang'jiang'bian 好收吾骨瘴江边
'zheng'yue'shi'qi'ri 正月十七日
'chun'ri'ning'zhuang'shang'cui'lou 春日凝妆上翠楼
'wei'you'chang'jiang'shui 惟有长江水
'qi'wu'shan'ge'yu'cun'di 岂无山歌与村笛
'kai'wu'shan'ge'yu'cun'di 岂无山歌与村笛
'zi'mei'di'xiong'jie'lie'tu 姊妹弟兄皆列土
'liang'chong'xin'zi'luo'yi 两重心字罗衣
'ai'ci'gong'shang'you'zhen'yi 爱此宫商有真意
'tai'bai'yu'wo'yu 太白与我语
'wen'dao'han'jia'tian'zi'shi 闻道汉家天子使
'sheng'shi'kong'zi'zhi 胜事空自知
'shuang'shuang'jin'zhe'gu 双双金鹧鸪
'qi'lai'yong'zheng'xian'xian'shou 起来慵整纤纤手
'chi'yue'jian'dong'shang 池月渐东上
'jiang'yu'fei'fei'jiang'cao'qi 江雨霏霏江草齐
'jin'ye'fu'zhou'yue 今夜鄜州月
'jin'ye'lu'zhou'yue 今夜鄜州月
'yu'shi'yin'jiu'le'shen 于是饮酒乐甚
'yu'shi'yin'jiu'yue'shen 于是饮酒乐甚
'han'dan'xian'zhen'jing 邯郸先震惊
'xiang'de'jia'zhong'ye'shen'zuo 想得家中夜深坐
'ai'ci'ji'qiu'ku 爱此及秋枯
'feng'chui'xian'mei'piao'piao'ju 风吹仙袂飘飘举
'men'sui'she'er'chang'guan 门虽设而常关
'ou'ran'zhi'lin'sou 偶然值林叟
'an'chan'zhi'du'long 安禅制毒龙
'an'shan'zhi'du'long 安禅制毒龙
'jing'yi'yi'yi'jiang'ru 景翳翳以将入
'ying'yi'yi'yi'jiang'ru 景翳翳以将入
'jing'yi'yi'yi'qiang'ru 景翳翳以将入
'ying'yi'yi'yi'qiang'ru 景翳翳以将入
'yi'guan'bai'mian'liu 衣冠拜冕旒
'shei'wei'biao'yu'xin 谁为表予心
'shui'wei'biao'yu'xin 谁为表予心
'shu'qi'cui'huang'niao 淑气催黄鸟
'xing'qiao'tie'suo'kai 星桥铁锁开
'qian'qiu'er'zhuang'shi 千秋二壮士
'fen'fen'kai'qie'luo 纷纷开且落
'fen'fen'kai'qie'la 纷纷开且落
'fen'fen'kai'ju'luo 纷纷开且落
'fen'fen'kai'qu'luo 纷纷开且落
'fen'fen'kai'ju'la 纷纷开且落
'fen'fen'kai'qu'la 纷纷开且落
'nong'zhuang'shu'xi'chi 弄妆梳洗迟
'long'zhuang'shu'xi'chi 弄妆梳洗迟
'gong'nv'ru'hua'man'chun'dian 宫女如花满春殿
'jiang'zhi'dan'zhu'hai 将炙啖朱亥
'qiang'zhi'dan'zhu'hai 将炙啖朱亥
'jiang'zhi'dan'shu'hai 将炙啖朱亥
'qiang'zhi'dan'shu'hai 将炙啖朱亥
'yi'qu'bao'cun'liu 一曲抱村流
'yue'guang'chang'zhao'jin'zun'li 月光长照金樽里
'yue'guang'zhang'zhao'jin'zun'li 月光长照金樽里
'tian'xiang'yun'wai'piao 天香云外飘
'qiu'yun'an'ji'zhong 秋云暗几重
'qiu'yun'an'ji'chong 秋云暗几重
'feng'duo'xiang'yi'chen 风多响易沉
'la'yue'san'shi'ri 腊月三十日
'qian'qi'yong'gao'ya 千骑拥高牙
'dan'jiao'xin'si'jin'dian'jian 但教心似金钿坚
'dan'jiao'xin'si'jin'tian'jian 但教心似金钿坚
'dan'jiao'xin'shi'jin'dian'jian 但教心似金钿坚
'dan'jiao'xin'shi'jin'tian'jian 但教心似金钿坚
'dian'tou'yin'bi'ji'jie'sui 钿头银篦击节碎
'tian'tou'yin'bi'ji'jie'sui 钿头银篦击节碎
'gong'zui'chong'yang'jie 共醉重阳节
'zao'wan'fu'xiang'feng 早晚复相逢
'bu'zhi'lai'zi'he'chu 不知来自何处
'fu'jia'yan'xi'yan'qiu 复驾言兮焉求
'zhi'shi'shao'ren'hang 直是少人行
'zhi'shi'shao'ren'xing 直是少人行
'yu'chang'qi'san'geng 渔唱起三更
'ci'hen'wu'chong'shu 此恨无重数
'man'tang'hua'zui'san'qian 满堂花醉三千
'jia'tian'shu'shui'jin 家田输税尽
'zhen'qian'lei'gong'lian'qian'yu 枕前泪共帘前雨
'ai'ci'jiang'bian'hao 爱此江边好
'ai'ci'lu'de'bo 爱此露的皪
'ai'ci'lu'de'li 爱此露的皪
'ai'ci'lu'de'luo 爱此露的皪
'ai'ci'lou'de'bo 爱此露的皪
'ai'ci'lou'de'li 爱此露的皪
'ai'ci'lou'de'luo 爱此露的皪
'ai'ci'lu'di'bo 爱此露的皪
'ai'ci'lu'di'li 爱此露的皪
'ai'ci'lu'di'luo 爱此露的皪
'ai'ci'lou'di'bo 爱此露的皪
'ai'ci'lou'di'li 爱此露的皪
'ai'ci'lou'di'luo 爱此露的皪
'ai'ci'qian'gan'bi 爱此千竿碧
'ai'ci'qiong'du 哀此茕独
'ai'ci'san'pian'ru'jiu'mei 爱此三篇如酒美
'tian'bian'shu'ruo'ji 天边树若荠
'tian'bian'shu'ruo'qi 天边树若荠
'tian'bian'shu're'ji 天边树若荠
'tian'bian'shu're'qi 天边树若荠
'sa'sa'dong'feng'xi'yu'lai 飒飒东风细雨来
'xi'gong'nan'nei'duo'qiu'cao 西宫南内多秋草
'xi'gong'na'nei'duo'qiu'cao 西宫南内多秋草
'xi'gong'nan'na'duo'qiu'cao 西宫南内多秋草
'xi'gong'na'na'duo'qiu'cao 西宫南内多秋草
'xu'li'shang'gu'yan 墟里上孤烟
'nan'er'da'zhang'fu 男儿大丈夫
'kai'xuan'wo'xian'chang 开轩卧闲敞
'ai'ci'shan'zhong'ren 爱此山中人
'he'dang'zai'jiu'lai 何当载酒来
'hai'shui'shang'you'ya 海水尚有涯
'you'lai'zi'gong'nv 由来紫宫女
'you'lai'zi'gong'ru 由来紫宫女
'ai'ci'sui'yue'qiu 哀此岁月遒
'ye'ye'jian'qing'hui 夜夜减清辉
'xi'lu'chan'sheng'chang 西陆蝉声唱
'wei'chang'bu'lin'wen'jie'dao 未尝不临文嗟悼
'wei'chang'bu'lin'wen'jue'dao 未尝不临文嗟悼
'wei'chang'fou'lin'wen'jie'dao 未尝不临文嗟悼
'wei'chang'fou'lin'wen'jue'dao 未尝不临文嗟悼
'shan'xian'hao'yue'lai 山衔好月来
'qin'e'meng'duan'qin'lou'yue 秦娥梦断秦楼月
'chou'yin'bo'mu'qi 愁因薄暮起
'gong'du'qing'e'mei 共妒青蛾眉
'ji'qi'suo'zhi'ji'juan 及其所之既倦
'han'jia'shan'dong'er'bai'zhou 汉家山东二百州
'you'xian'feng'dao'gu 有仙风道骨
'ri'ye'liu'tiao'xin 日夜柳条新
'shi'xin'ren'jian'bie'li'ku 始信人间别离苦
'shi'shen'ren'jian'bie'li'ku 始信人间别离苦
'qing'xin'yu'kai'fu 清新庾开府
'hui'yu'kuai'ji'shan'yin'zhi'lan'ting 会于会稽山阴之兰亭
'kuai'yu'kuai'ji'shan'yin'zhi'lan'ting 会于会稽山阴之兰亭
'gui'lai'bao'fan'huang'hun'hou 归来饱饭黄昏后
'jian'xin'qie'xian'lei 煎心且衔泪
'jian'xin'ju'xian'lei 煎心且衔泪
'jian'xin'qu'xian'lei 煎心且衔泪
'hui'shou'bei'xi'feng 回首背西风
'wen'zhe'wei'bei'shang 闻者为悲伤
'tan'nian'lai'zong'ji 叹年来踪迹
'suan'zhi'you'yin'qin 算只有殷勤
'qin'xiao'kui'yan'yu 侵晓窥檐语
'ping'sheng'bu'ping'shi 平生不平事
'mang'mang'tian'di'jian 茫茫天地间
'bu'ren'deng'gao'lin'yuan 不忍登高临远
'ge'shui'wen'qiao'fu 隔水问樵夫
'ye'niang'qi'zi'zou'xiang'song 耶娘妻子走相送
'wei'shuang'qi'qi'dian'se'han 微霜凄凄簟色寒
'wei'shuang'qi'qi'dian'shai'han 微霜凄凄簟色寒
'xiang'feng'yi'zui'shi'qian'yuan 相逢一醉是前缘
'ai'ci'wu'neng'wei'fu'shi 爱此吾能为赋诗
'ai'ci'yu'neng'wei'fu'shi 爱此吾能为赋诗
'ai'ci'xiao'tian'zhu 爱此小天竺
'ai'ci'xiao'tian'du 爱此小天竺
'si'shi'zhi'wu'shi 四十至五十
'zun'jiu'jia'pin'zhi'jiu'pei 樽酒家贫只旧醅
'xiu'chuang'xie'ping'jiao'wu'na 绣床斜凭娇无那
'ai'ci'yi'ju'han 爱此一掬寒
'jing'hu're'zhong'chang 惊呼热中肠
'yi'ri'tu'jiang'hao'jing 异日图将好景
'yi'ri'tu'qiang'hao'jing 异日图将好景
'yi'dan'gui'wei'chen'lu 一旦归为臣虏
'shu'ke'wang'bian'se 戍客望边色
'shu'ke'wang'bian'shai 戍客望边色
'e'mei'ceng'you'ren'du 蛾眉曾有人妒
'si'jun'ru'ming'zhu 思君如明烛
'xu'cha'man'tou'gui 须插满头归
'feng'liu'tian'xia'wen 风流天下闻
'bo'mu'kong'tan'qu 薄暮空潭曲
'mei'jiu'dou'shi'qian 美酒斗十千
'song'chun'chun'qu'ji'shi'hui 送春春去几时回
'dan'ci'qing'yi'jiu 但此情依旧
'ke'lian'jiang'pu'wang 可怜江浦望
'lv'ye'cheng'yin'zi'man'zhi 绿叶成阴子满枝
'xi'xi'diao'sou'lian'wa 嬉嬉钓叟莲娃
'xiao'yao'yan'lang'shei'ji'ban 逍遥烟浪谁羁绊
'xiao'yao'yan'lang'shui'ji'ban 逍遥烟浪谁羁绊
'ke'xin'xi'liu'shui 客心洗流水
'ke'xin'xian'liu'shui 客心洗流水
'shu'yun'wang'hui'hui 孰云网恢恢
'bu'tuo'suo'yi'wo'yue'ming 不脱蓑衣卧月明
'bai'bo'jiu'dao'liu'xue'shan 白波九道流雪山
'gong'si'cang'lin'ju'feng'shi 公私仓廪俱丰实
'yu'zuo'qian'jiu'jiang'jun'si'ma 予左迁九江郡司马
'zi'qing'liang'wu'han 自清凉无汗
'wu'yue'yu'lang'xiang'yi'fou 五月渔郎相忆否
'wu'yue'yu'lang'xiang'yi'pi 五月渔郎相忆否
'shu'li'ru'yun'feng 数里入云峰
'shuo'li'ru'yun'feng 数里入云峰
'ai'ci'you'sheng'wu'yong'zhi'qing'liu 爱此有声无用之清流
'nan'ming'zuo'zhu'chen 南溟作逐臣
'na'ming'zuo'zhu'chen 南溟作逐臣
'zhao'bie'huang'he'lou 朝别黄鹤楼
