'lei'he'dong'zhu 泪河东注
'ruan'shi'ping 阮始平
'she'ji'wei'xu 社稷为墟
'qi'rong'ta'ren'han'shui 岂容他人酣睡
'yu'shui'jia'qiao 遇水架桥
'ying'mie'ji'jue 影灭迹绝
'bei'gong'xiang'si 背公向私
'xue'zhe'ru'niu'mao 学者如牛毛
'bai'e 白额
'shu'tou'ni'zi 梳头妮子
'chi'chu'bu'qian 踟蹰不前
'si'yu'an'le 死于安乐
'yi'sao'er'guang 一扫而光
'fen'wen'wei'qu 分文未取
'dong'chong'xi'jue 东冲西决
'fu'lao'jiang'you 扶老将幼
'fu'lao'qiang'you 扶老将幼
'tong'gan'tong'ku 同甘同苦
'dao'ji'wo'zhu 蹈机握杼
'su'ye'zai'gong 夙夜在公
'bu'jian'tian'ri 不见天日
'yu'shi'jin'yi 玉食锦衣
'er'long'yan'hua 耳聋眼花
'wu'qiao'bu'cheng'hua 无巧不成话
'tong'yi'zhan'xian 统一战线
'bi'bi'bo'bo 哔哔剥剥
'bi'bi'bao'bo 哔哔剥剥
'bi'bi'bo'bao 哔哔剥剥
'bi'bi'bao'bao 哔哔剥剥
'dong'liang'xi'zhe 东量西折
'huo'shao'huo'liao 火烧火燎
'gao'che'si'ma 高车驷马
'qian'jiang'zheng'bing 遣将征兵
'qing'shen'gu'rou 情深骨肉
'chi'zheng'bu'a 持正不阿
'yan'jing'bi'zhi 研精毕智
'wan'shi'zhi'yi 万室之邑
'mo'shi'zhi'yi 万室之邑
'cheng'jia'li'ye 成家立业
'qiang'dong 墙东
'lv'wu'cao'mang 吕武操莽
'tong'sheng'gong'si 同生共死
'han'mu'chun'hua 寒木春华
'hu'chui'luan'beng 胡吹乱嗙
'hu'chui'luan'pang 胡吹乱嗙
'da'di'chun'hui 大地春回
'yao'xue'wei'meng 咬血为盟
'yao'xie'wei'meng 咬血为盟
'shao'cheng'ruo'xing 少成若性
'ren'duo'que'shao 人多阙少
'wu'yan'zu 无厌足
'wan'xing'wei'ai 万兴未艾
'wan'xing'wei'yi 万兴未艾
'dong'zhi'xi'hua 东指西画
'bi'tou'chu'huo 鼻头出火
'she'sheng'wang'si 舍生忘死
'fen'shen'sui'gu 粉身碎骨
'kan'jing'zhi'wa 坎井之鼃
'xian'wai'yi'yin 絃外遗音
'xian'wai'wei'yin 絃外遗音
'han'hua'wan'jie 寒花晚节
'yi'su'jue'chen 遗俗绝尘
'guan'yu'cheng'chong 贯鱼成宠
'tong'xin'ye'li 同心叶力
'wen'liang'gong'jian'rang 温良恭俭让
'nan'hua'meng 南华梦
'bu'tian'lian'shi 补天炼石
'yuan'zai'tian'bian 远在天边
'feng'qing'yue'si 風情月思
'feng'qing'yue'sai 風情月思
'chu'xiu'yao'ji 楚岫瑶姬
'ri'nuan'feng'he 日暖风和
'ren'mian'shou'xin 人面兽心
'yi'mu'zhi'shi 一目之士
'da'zhi'da'yong 大智大勇
'shan'bu'yan'gao 山不厌高
'cheng'ji 成积
'you'zhong'zhi'yan 由中之言
'ning'wo'fu'ren 宁我负人
'long'tou'she'wei 龙头蛇尾
'chang'tu'ba'she 长途跋涉
'bi'duo'li'shao 弊多利少
'yi'li'fu'ren 以力服人
'shi'en'jia'yuan 市恩嫁怨
'dan'wan'zhi'di 弹丸之地
'zi'sun'hou'bei 子孙后辈
'san'yan'wu'yu 三言五语
'ba'biao 八表
'yi'yan'fei'sun 以咽废飧
'yi'ye'fei'sun 以咽废飧
'ju'ding'jue'bin 举鼎绝膑
'yun'fu'ban'men 运斧般门
'dao'li'tian'gong 忉利天宫
'shi'you'bi'zhi 事有必至
'die'li'jian'bei 鲽离鹣背
'chuan'bi'yin'guang 穿壁引光
'duo'yan'fan'cheng 多言繁称
'fen'bu'gu'shen 忿不顾身
'han'xue'yan'che 汗血盐车
'pan'ju'gu'jie 蟠据固结
'jian'ji'xing'shi 见机行事
'yi'wen'yi'shi 遗闻轶事
'meng'bi 梦笔
'wen'zhe'ze'she 闻者咋舌
'wen'zhe'zha'she 闻者咋舌
'wen'zhe'za'she 闻者咋舌
'zi'jia'zhuang'zhu 自家撞著
'zi'jia'zhuang'zhuo 自家撞著
'yu'gai'er'zhang 欲盖而彰
'shi'zi'da'kai'kou 狮子大开口
