'er'da'bu'you'ye 儿大不由爷
'er'huang'di 儿皇帝
'er'lian'shou'rao 儿怜兽扰
'er'nv'fu'qi 儿女夫妻
'er'nv'qing'chang'ying'xiong'qi'duan 儿女情长英雄气短
'er'nv'qing'duo 儿女情多
'er'nv'qing'duo'feng'yun'qi'shao 儿女情多风云气少
'er'nv'si'qing 儿女私情
'er'nv'ying'xiong 儿女英雄
'er'nv'zhi'zhai 儿女之债
'er'nv'zi'yu 儿女子语
'er'tong'zhi'jian 儿童之见
'er'tong'zou'zu 儿童走卒
'er'bian'zhi'feng 耳边之风
'er'bu'li'sai 耳不离腮
'er'bu'pang'ting 耳不旁听
'er'bu'ren'wen 耳不忍闻
'er'hou'feng'sheng 耳后风生
'er'long'yan'hei 耳聋眼黑
'er'long'yan'hua 耳聋眼花
'er'long'yan'xia 耳聋眼瞎
'er'ming'mu'xuan 耳鸣目眩
'er'mu'hou'she 耳目喉舌
'er'mu'xin'fu 耳目心腹
'er'mu'zhi'yu 耳目之欲
'er'ran'mu'ru 耳染目濡
'er're'yan'hua 耳热眼花
'er'ting'shi'xu'yan'jian'shi'shi 耳听是虚眼见是实
'er'ting'shi'xu'yan'jian'wei'shi 耳听是虚眼见为实
'er'wen'bu'ru'yan'jian 耳闻不如眼见
'er'wen'mu'lan 耳闻目览
'er'wen'mu'ran 耳闻目染
'er'wen'yan'du 耳闻眼睹
'er'wen'yan'jian 耳闻眼见
'er'xi'mu'ran 耳习目染
'er'xun'mu'ran 耳熏目染
'er'ru'mu'ji 耳濡目击
'er'ru'mu'ji 耳濡目及
'er'bin'xiang'mo 耳鬓相磨
'er'ru'jiao 尔汝交
'er'wei'er'wo'wei'wo 尔为尔我为我
'er'ya'wen'wen 尔雅温文
'er'ming'diao'lu 饵名钓禄
'er'ba'nv'lang 二八女郎
'er'ci'san'fan 二次三番
'er'dao'fan'zi 二道贩子
'er'di'san'wang 二帝三王
'er'er'yi 二而一
'er'gan'zi 二杆子
'er'hua'mei'shuo 二话没说
'er'liu'zi 二流子
'er'luan'qi'gan'cheng 二卵弃干城
'er'san'qi'cao 二三其操
'er'san'qi'jie 二三其节
'er'shu'wei'zai 二竖为灾
'er'tao'san'shi 二桃三士
'er'wu'ou 二五耦
'er'xian'chuan'dao 二仙传道
'er'xun'jiu'shi 二旬九食
'er'yi'san'xin 二意三心
'er'zhe'bi'qu'qi'yi 二者必取其一
'er'zui'ju'fa 二罪俱罚
'fan'lian'bu'ren'ren 翻脸不认人
'fan'mian'jiao'cai 反面教材
'fan'yao'yi'kou 反咬一口
'fei'ying'chui'zhu 飞蝇垂珠
'fei'zhu'gong'men 肥猪拱门
'fei'wu'li'yong 废物利用
'fei'li'bu'tao'hao 费力不讨好
'feng'jiang'da'li 封疆大吏
'feng'pai'ren'wu 风派人物
